Date,Product_Name,Customer_ID,Quantity_Sold,Selling_Price,Cost_Price,Festival
2024-04-12,Sugar,C0140,4,25,15,0
2024-12-14,Dal,C0097,5,68,50,0
2024-09-27,Bread,C0005,6,92,74,0
2024-04-16,Dal,C0057,1,69,64,0
2024-03-12,Eggs,C0069,4,31,22,0
2024-07-07,Dal,C0118,5,42,34,0
2024-01-21,Bread,C0059,7,73,64,0
2024-04-12,Eggs,C0033,5,88,77,0
2024-05-01,Rice,C0050,1,78,68,1
2024-08-02,Milk,C0019,7,55,39,1
2024-11-26,Oil,C0214,8,22,9,0
2024-03-28,Dal,C0197,7,77,67,0
2024-04-09,Oil,C0047,4,74,61,0
2024-12-25,Sugar,C0167,8,76,68,0
2024-05-31,Bread,C0289,5,36,31,0
2024-05-10,Oil,C0141,9,58,53,0
2024-05-29,Bread,C0084,5,87,73,0
2024-11-04,Oil,C0182,1,74,63,0
2024-09-14,Milk,C0079,9,64,47,0
2024-12-09,Milk,C0215,5,95,78,0
2024-10-20,Eggs,C0014,6,20,3,0
2024-07-10,Milk,C0215,4,40,33,0
2024-10-03,Eggs,C0128,6,40,34,0
2024-06-09,Milk,C0248,8,71,53,0
2024-11-09,Milk,C0029,3,62,52,0
2024-01-22,Milk,C0280,5,71,61,0
2024-09-09,Bread,C0202,2,86,69,0
2024-08-23,Dal,C0057,2,63,52,0
2024-12-10,Eggs,C0218,7,51,42,0
2024-02-18,Oil,C0062,6,29,17,0
2024-02-28,Milk,C0157,4,83,72,0
2024-06-18,Bread,C0202,5,98,92,0
2024-07-06,Bread,C0017,1,88,69,0
2024-09-27,Bread,C0006,7,87,82,0
2024-07-08,Eggs,C0058,8,47,30,0
2024-06-23,Dal,C0169,9,72,54,0
2024-02-20,Eggs,C0082,8,70,57,0
2024-12-29,Oil,C0219,5,72,63,0
2024-02-24,Dal,C0177,3,23,7,0
2024-08-31,Rice,C0204,9,98,83,0
2024-11-15,Butter,C0071,6,36,27,0
2024-05-10,Bread,C0266,5,86,70,0
2024-11-02,Eggs,C0098,3,93,79,1
2024-05-14,Rice,C0291,6,66,58,0
2024-01-21,Sugar,C0208,3,75,69,1
2024-11-24,Eggs,C0002,6,42,33,0
2024-06-15,Milk,C0124,4,37,31,0
2024-09-30,Butter,C0280,2,20,4,0
2024-03-29,Milk,C0074,8,54,43,0
2024-11-11,Dal,C0166,4,83,68,0
2024-01-14,Butter,C0022,9,77,64,0
2024-08-29,Eggs,C0154,7,78,65,0
2024-09-21,Oil,C0295,2,20,5,0
2024-12-11,Rice,C0219,4,22,12,0
2024-02-22,Oil,C0157,5,86,81,0
2024-12-05,Eggs,C0230,3,56,39,0
2024-04-01,Dal,C0020,9,48,38,0
2024-09-20,Milk,C0041,5,52,43,0
2024-02-04,Butter,C0148,2,80,72,0
2024-07-24,Oil,C0108,3,23,7,0
2024-03-21,Eggs,C0084,9,33,23,0
2024-02-19,Oil,C0290,7,52,42,0
2024-12-25,Eggs,C0134,2,41,23,0
2024-01-02,Milk,C0207,9,67,57,0
2024-02-23,Butter,C0283,4,22,16,0
2024-04-15,Rice,C0266,9,42,23,1
2024-09-16,Milk,C0073,2,87,69,1
2024-11-05,Oil,C0048,4,40,29,0
2024-07-09,Rice,C0233,5,62,44,0
2024-08-05,Eggs,C0100,2,45,37,0
2024-02-13,Rice,C0059,1,60,43,0
2024-06-10,Eggs,C0258,7,57,38,0
2024-07-20,Milk,C0065,1,30,14,0
2024-09-26,Oil,C0083,8,48,35,0
2024-12-16,Dal,C0154,3,79,65,0
2024-10-30,Oil,C0266,6,86,80,0
2024-09-27,Eggs,C0079,7,84,75,0
2024-08-02,Bread,C0150,1,80,62,0
2024-09-08,Butter,C0048,6,38,30,1
2024-07-08,Sugar,C0248,7,65,52,0
2024-10-22,Dal,C0278,6,68,60,0
2024-07-31,Rice,C0098,4,41,29,0
2024-07-26,Dal,C0025,1,97,85,0
2024-08-24,Butter,C0284,9,76,66,0
2024-12-03,Rice,C0068,4,33,23,1
2024-02-22,Butter,C0007,7,63,48,0
2024-10-06,Rice,C0137,7,35,23,0
2024-08-04,Dal,C0164,2,96,80,0
2024-09-08,Rice,C0083,1,31,14,0
2024-07-06,Rice,C0138,8,74,58,1
2024-02-10,Bread,C0073,8,70,56,1
2024-06-05,Oil,C0237,7,58,45,0
2024-01-15,Oil,C0046,8,52,33,0
2024-10-27,Sugar,C0106,3,52,43,0
2024-03-05,Sugar,C0288,2,48,33,0
2024-12-10,Eggs,C0262,7,88,83,0
2024-11-22,Eggs,C0176,8,89,84,0
2024-01-09,Eggs,C0166,1,50,31,1
2024-12-09,Bread,C0145,9,99,93,0
2024-05-08,Sugar,C0283,4,50,36,1
2024-05-15,Butter,C0054,4,65,51,0
2024-03-03,Eggs,C0178,3,96,87,0
2024-05-18,Eggs,C0244,6,71,63,1
2024-03-21,Dal,C0127,1,29,24,0
2024-06-11,Milk,C0271,6,93,85,1
2024-10-15,Butter,C0132,2,60,52,0
2024-09-17,Eggs,C0093,9,96,82,0
2024-08-18,Eggs,C0073,2,22,14,1
2024-02-10,Eggs,C0248,7,78,73,0
2024-01-28,Milk,C0273,1,71,58,1
2024-05-14,Milk,C0043,7,53,35,1
2024-07-19,Bread,C0041,5,68,61,0
2024-11-23,Butter,C0170,8,47,30,0
2024-09-24,Bread,C0212,4,32,24,0
2024-02-02,Rice,C0168,7,88,79,0
2024-02-17,Milk,C0039,6,86,69,0
2024-03-02,Dal,C0245,5,80,63,0
2024-08-03,Sugar,C0151,4,79,68,0
2024-10-19,Dal,C0111,7,90,80,0
2024-04-08,Sugar,C0047,5,43,34,0
2024-06-20,Milk,C0063,5,82,70,0
2024-12-25,Milk,C0225,1,80,62,0
2024-08-01,Milk,C0069,2,42,37,1
2024-02-04,Bread,C0299,5,49,38,0
2024-08-14,Butter,C0290,3,79,63,0
